16260,25116,Gloria Atkins,24,BAIIplus,calculatortypes,Wallet,4,12.56,2021-01-05 07:39:06,China,Shanwei,Quill,80032,Y, 
30311,49957,Anabelle Browning,21,ti84,calculatortypes,UPI,7,56.58,2021-02-14 10:39:06,Taiwan,Taichung,W.B. Mason,27619,N,Limit Exceeded
64125,17185,Hillary Walters,18,ruler,measurement,Card,5,68.23,2021-10-25 13:39:06,United States,Dallas,Catching Fireflies,19772,Y, 
79785,87953,Reece Berger,3,crayons,writingutensils,Wallet,4,12.56,2021-05-29 16:39:06,United States,San Francisco,Poppin,36560,Y, 
35113,23089,Weston Coleman,21,ti84,calculatortypes,Card,5,68.23,2021-08-14 07:39:06,United States,Tampa,Animi Causa,23368,Y, 
10047,66843,Alexandra Cabrera,1,pen,writtingutensils,UPI,7,56.58,2021-04-24 15:39:06,Kenya,Nairobi,Walmart,15391,N,Invalid CVV
46150,52411,Deandre Macdonald,18,ruler,measurement,Card,5,68.23,2021-11-20 13:39:06,United States,Philadelphia,Kate Spade,76754,Y, 
94528,21403,Kadence Mitchell,4,artpaper,paper,Card,5,68.23,2021-03-02 10:39:06,Italy,Rome,Cavallini & Co.,24913,Y, 
80094,33035,Ahmed Charles,16,officechair,officesupplies,UPI,3,4.32,2021-09-27 13:39:06,United States,San Diego,Poppin,53469,Y, 
36512,68259,Abigayle Davis,19,protractor,measurement,Card,5,68.23,2021-07-23 11:39:06,Philippines,Quezon City,See Jane Work,67646,Y, 
58905,75380,Monique Odom,5,staples,measurement,Card,5,68.23,2021-06-24 16:39:06,United States,Seattle,Twist Office Products,38263,Y, 
61492,78354,Zaniyah Skinner,4,artpaper,paper,Wallet,8,23.21,2021-12-27 16:39:06,United States,San Diego,Oh, Hello Friend,31082,N,Limit Exceeded
36571,92742,Aspen Rodriguez,4,artpaper,paper,Wallet,4,12.56,2021-10-24 15:39:06,United States,Dallas,Target,54371,Y, 
64337,62693,Brynn Hood,25,ti83plus,calculatortypes,Wallet,8,23.21,2021-11-17 08:39:06,India,Mumbai,Twist Office Products,20240,Y, 
82865,95239,Leonard Barton,25,ti83plus,calculatortypes,Wallet,4,12.56,2021-08-22 09:39:06,Philippines,Manila,Costco,48181,Y, 
12711,41910,Scott Briggs,11,bin,officesupplies,Internet Banking,2,60.18,2021-04-19 12:39:06,Thailand,Bangkok,Knock Knock,55888,Y, 
18784,60043,Dale Monroe,11,bin,officesupplies,Internet Banking,6,34.1,2021-02-24 15:39:06,Iraq,Baghdad,The Container Store,63475,Y, 
30358,55009,Rolando Graves,23,ti89,calculatortypes,Card,5,68.23,2021-08-24 08:39:06,Myanmar,Rangoon,Kate Spade,67985,Y, 
84001,61515,Anne Lucero,24,BAIIplus,calculatortypes,Internet Banking,2,60.18,2021-10-06 14:39:06,Singapore,Singapore,Rifle Paper Co.,11945,Y, 
79379,68576,Edward Bowen,8,ink,officesupplies,UPI,3,4.32,2021-12-15 08:39:06,Ukraine,Kyiv,Wayfair,23294,Y, 
39395,52317,Lola Griffith,21,ti84,calculatortypes,Card,5,68.23,2021-04-25 14:39:06,India,Jaipur,Wayfair,34589,N,Insufficient Funds
